chr1:6390664	.
chr1:6661634	17.466273
chr1:8064999	11.562419
chr1:8120528	10.71289975
chr1:8508675	.
chr1:8570921	.
chr1:10346470	.
chr1:10891302	.
chr1:12038938	10.791158
chr1:15493994	5.706462
chr1:16012613	12.231921
chr1:16160950	36.758461
chr1:16465572	14.060224
chr1:16840781	16.269182
chr1:17222679	11.817536
chr1:19537315	24.764241
chr1:19889663	.
chr1:20693716	.
chr1:20736819	.
chr1:20808281	11.70783075
chr1:24604098	.
chr1:24739062	10.812743
chr1:25054456	.
chr1:26706166	.
chr1:26828332	17.911029
chr1:26947462	27.482998
chr1:27323861	23.273021
chr1:29597021	10.18263
chr1:30129508	.
chr1:32110727	21.780066
chr1:32297650	.
chr1:34462964	.
chr1:35736218	16.755524
chr1:37116283	.
chr1:39658973	6.556789
chr1:40976122	.
chr1:44703959	.
chr1:45451019	15.289425
chr1:45814496	.
chr1:46309391	.
chr1:46598484	17.808981
chr1:47798551	23.301388
chr1:51442812	28.364174
chr1:52344525	26.164831
chr1:53914905	.
chr1:54204480	.
chr1:57887737	.
chr1:59164272	27.332755
chr1:65383266	5.106869
chr1:67064801	.
chr1:71546539	19.061511
chr1:82269515	8.81101
chr1:82270649	8.81101
chr1:84805377	.
chr1:85668349	15.351317
chr1:85809589	4.905117
chr1:87690117	.
chr1:89590948	.
chr1:90246517	.
chr1:91852404	.
chr1:92035596	.
chr1:92049746	.
chr1:94793099	7.335672
chr1:96938325	.
chr1:98871515	7.099535667
chr1:99732430	.
chr1:108741878	25.848019
chr1:109263733	.
chr1:109288367	15.335772
chr1:110199583	13.20833
chr1:110333498	10.099731
chr1:110502184	15.333154
chr1:110659310	.
chr1:110933466	13.247442
chr1:115212190	6.79094
chr1:117425000	.
chr1:120191434	13.121395
chr1:145002736	.
chr1:145039998	7.244098
chr1:146715273	21.90173
chr1:147071136	11.325392
chr1:147113877	.
chr1:149783921	11.539481
chr1:150228408	7.089934
chr1:150534993	21.032208
chr1:151227240	27.670076
chr1:151597369	.
chr1:151762914	12.292317
chr1:151839978	.
chr1:152008450	47.783805
chr1:153479503	9.05605
chr1:153540812	30.067947
chr1:153581536	31.034184
chr1:153671036	.
chr1:153762585	.
chr1:153963231	32.132361
chr1:154244787	26.675027
chr1:154299109	15.980597
chr1:154380245	.
chr1:154600414	23.121355
chr1:154927590	10.133653
chr1:155140398	5.599198
chr1:155181362	.
chr1:155830884	.
chr1:155939631	.
chr1:155990772	13.14315
chr1:156022819	38.34438
chr1:156096841	29.061111
